Date,Value
2013-02-27,52
2013-02-28,55
2013-03-01,38
2013-03-02,49
2013-03-03,50
2013-03-01,31
2013-03-02,62
2013-03-03,78
2013-03-04,63
2013-03-05,58
2013-03-06,61
2013-03-07,76
2013-03-08,70
2013-03-09,68
2013-03-10,63
2013-03-11,54
2013-03-12,54
2013-03-13,58
2013-03-14,104
2013-03-15,65
2013-03-16,36
